Date,Product Name,Quantity
2020-12-29,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2021-01-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2021-01-06,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-01-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2021-01-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),12
2021-01-28,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2021-02-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-02-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-02-19,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2021-02-22,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2021-02-24,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2021-03-03,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-03-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
2021-03-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2021-03-11,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2021-03-15,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2021-03-16,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-03-17,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2021-03-18,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2021-03-19,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2021-03-22,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-03-23,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2021-03-26,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-03-31,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),4
2021-04-05,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),12
2021-04-07,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),1
2021-04-09,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),3
2021-04-12,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),9
2021-04-20,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),2
2021-04-21,Highland Castle Farms French Bacon - 200g (Nitrite &amp; Nitrate Free),6
